run_id,date,plant,production_line,machine_id,product_id,shift,planned_minutes,operating_minutes,ideal_cycle_time_seconds,planned_units,actual_units,good_units,scrap_units,rework_units,operator_team
RUN-00021,2025-01-03,South Plant,Line C,M-202,P-300,Night,404.9,377.9,36.0,674.8,579.1,554.7,13.9,10.4,Team C
RUN-00022,2025-01-03,South Plant,Line D,M-203,P-500,Swing,411.8,390.5,39.0,633.5,556.5,538.7,10.6,7.2,Team B
RUN-00023,2025-01-03,West Plant,Line E,M-301,P-500,Swing,437.4,376.7,39.0,672.9,582.4,560.6,13.8,8.1,Team A
RUN-00024,2025-01-03,West Plant,Line E,M-302,P-100,Night,398.8,365.0,42.0,569.7,491.8,473.3,9.8,8.6,Team D
RUN-00025,2025-01-04,North Plant,Line A,M-101,P-100,Swing,379.1,320.3,42.0,541.5,463.9,446.2,11.1,6.5,Team C
RUN-00026,2025-01-04,North Plant,Line A,M-102,P-200,Swing,434.3,395.4,55.0,473.8,413.3,399.7,8.1,5.5,Team B
RUN-00027,2025-01-04,North Plant,Line B,M-103,P-200,Day,404.4,368.4,55.0,441.2,395.1,380.5,9.2,5.4,Team D
RUN-00028,2025-01-04,South Plant,Line C,M-201,P-100,Day,379.4,322.4,42.0,542.0,507.8,491.3,9.8,6.7,Team D
RUN-00029,2025-01-04,South Plant,Line C,M-202,P-500,Swing,436.6,391.5,39.0,671.7,579.0,557.0,13.9,8.1,Team B
RUN-00030,2025-01-04,South Plant,Line D,M-203,P-600,Day,403.4,339.9,51.0,474.6,440.1,426.0,8.4,5.7,Team B
RUN-00031,2025-01-04,West Plant,Line E,M-301,P-100,Night,413.7,352.9,42.0,590.9,500.5,479.8,11.8,8.9,Team D
RUN-00032,2025-01-04,West Plant,Line E,M-302,P-100,Swing,431.2,402.0,42.0,616.0,549.4,531.0,11.0,7.4,Team B
RUN-00033,2025-01-05,North Plant,Line A,M-101,P-400,Day,372.6,337.8,48.0,465.8,408.8,393.3,9.8,5.7,Team D
RUN-00034,2025-01-05,North Plant,Line A,M-102,P-200,Day,453.5,432.8,55.0,494.8,453.2,438.3,8.9,6.0,Team D
RUN-00035,2025-01-05,North Plant,Line B,M-103,P-400,Day,418.4,359.7,48.0,523.0,479.7,462.0,11.2,6.6,Team C
RUN-00036,2025-01-05,South Plant,Line C,M-201,P-200,Day,368.9,343.0,55.0,402.4,378.7,366.4,7.3,5.0,Team B
RUN-00037,2025-01-05,South Plant,Line C,M-202,P-200,Night,431.4,402.4,55.0,470.7,393.3,376.8,9.4,7.1,Team D
RUN-00038,2025-01-05,South Plant,Line D,M-203,P-300,Swing,437.2,381.0,36.0,728.6,657.3,636.3,12.5,8.5,Team B
RUN-00039,2025-01-05,West Plant,Line E,M-301,P-600,Night,486.0,417.2,51.0,571.8,489.8,469.5,11.6,8.7,Team A
RUN-00040,2025-01-05,West Plant,Line E,M-302,P-300,Day,375.7,350.7,36.0,626.2,571.4,552.3,11.4,7.7,Team C
RUN-00041,2025-01-06,North Plant,Line A,M-101,P-300,Night,413.5,358.7,36.0,689.1,568.7,544.8,13.6,10.2,Team C
RUN-00042,2025-01-06,North Plant,Line A,M-102,P-100,Day,338.0,312.1,42.0,482.8,445.8,431.1,8.8,5.9,Team C
RUN-00043,2025-01-06,North Plant,Line B,M-103,P-300,Swing,406.6,377.6,36.0,677.7,592.0,570.1,13.8,8.1,Team A
RUN-00044,2025-01-06,South Plant,Line C,M-201,P-300,Day,439.5,385.1,36.0,732.6,675.7,653.8,13.1,8.9,Team A
RUN-00045,2025-01-06,South Plant,Line C,M-202,P-400,Swing,473.5,450.3,48.0,591.9,504.3,485.1,12.1,7.1,Team C
RUN-00046,2025-01-06,South Plant,Line D,M-203,P-400,Day,427.1,365.9,48.0,533.8,488.3,472.7,9.3,6.3,Team C
RUN-00047,2025-01-06,West Plant,Line E,M-301,P-100,Swing,495.1,463.6,42.0,707.2,621.0,597.7,14.7,8.6,Team D
RUN-00048,2025-01-06,West Plant,Line E,M-302,P-400,Swing,432.6,406.5,48.0,540.8,470.2,454.4,9.4,6.3,Team D
RUN-00049,2025-01-07,North Plant,Line A,M-101,P-300,Night,413.5,390.4,36.0,689.2,582.8,558.3,14.0,10.5,Team A
RUN-00050,2025-01-07,North Plant,Line A,M-102,P-200,Swing,384.9,363.4,55.0,419.9,374.7,362.3,7.4,5.0,Team B
RUN-00051,2025-01-07,North Plant,Line B,M-103,P-400,Swing,368.5,345.7,48.0,460.6,402.9,388.0,9.4,5.5,Team A
RUN-00052,2025-01-07,South Plant,Line C,M-201,P-600,Day,405.3,380.5,51.0,476.8,435.3,421.1,8.4,5.7,Team A
RUN-00053,2025-01-07,South Plant,Line C,M-202,P-600,Day,451.1,394.3,51.0,530.7,468.3,450.5,11.2,6.6,Team A
RUN-00054,2025-01-07,South Plant,Line D,M-203,P-300,Day,410.5,353.4,36.0,684.1,624.4,604.5,11.9,8.1,Team A
RUN-00055,2025-01-07,West Plant,Line E,M-301,P-300,Day,460.5,404.4,36.0,767.5,686.2,660.5,16.2,9.5,Team C
RUN-00056,2025-01-07,West Plant,Line E,M-302,P-500,Swing,391.1,337.1,39.0,601.8,521.8,504.3,10.4,7.0,Team D
RUN-00057,2025-01-08,North Plant,Line A,M-101,P-200,Day,482.9,408.5,55.0,526.8,469.7,451.9,11.3,6.6,Team A
RUN-00058,2025-01-08,North Plant,Line A,M-102,P-600,Day,375.5,317.8,51.0,441.8,413.3,399.6,8.1,5.5,Team C
RUN-00059,2025-01-08,North Plant,Line B,M-103,P-500,Night,457.1,437.7,39.0,703.2,606.3,581.5,14.1,10.7,Team A
RUN-00060,2025-01-08,South Plant,Line C,M-201,P-400,Night,422.1,361.4,48.0,527.6,465.2,448.2,9.0,8.0,Team D
RUN-00061,2025-01-08,South Plant,Line C,M-202,P-200,Swing,478.9,424.4,55.0,522.4,448.3,431.3,10.8,6.3,Team C
RUN-00062,2025-01-08,South Plant,Line D,M-203,P-200,Swing,405.1,360.6,55.0,442.0,394.4,381.8,7.5,5.1,Team B
RUN-00063,2025-01-08,West Plant,Line E,M-301,P-300,Day,454.6,402.5,36.0,757.6,675.5,650.2,16.0,9.3,Team B
RUN-00064,2025-01-08,West Plant,Line E,M-302,P-200,Swing,472.0,423.7,55.0,514.9,462.7,447.2,9.3,6.2,Team B
RUN-00065,2025-01-09,North Plant,Line A,M-101,P-300,Day,489.8,458.7,36.0,816.3,734.8,706.9,17.6,10.3,Team C
RUN-00066,2025-01-09,North Plant,Line A,M-102,P-500,Swing,392.1,338.9,39.0,603.2,540.1,522.2,10.6,7.2,Team C
RUN-00067,2025-01-09,North Plant,Line B,M-103,P-400,Swing,422.8,360.0,48.0,528.5,459.8,442.8,10.7,6.3,Team D
RUN-00068,2025-01-09,South Plant,Line C,M-201,P-400,Swing,357.1,341.1,48.0,446.4,391.4,378.7,7.6,5.2,Team A
RUN-00069,2025-01-09,South Plant,Line C,M-202,P-300,Night,445.5,424.8,36.0,742.5,632.7,606.2,15.2,11.4,Team C
RUN-00070,2025-01-09,South Plant,Line D,M-203,P-500,Day,393.2,338.3,39.0,604.9,565.0,546.9,10.7,7.3,Team C
RUN-00071,2025-01-09,West Plant,Line E,M-301,P-100,Swing,328.3,305.9,42.0,469.1,405.1,389.9,9.6,5.6,Team C
RUN-00072,2025-01-09,West Plant,Line E,M-302,P-400,Night,337.5,288.3,48.0,421.8,371.5,357.6,7.4,6.5,Team B
RUN-00073,2025-01-10,North Plant,Line A,M-101,P-500,Day,434.7,405.6,39.0,668.8,596.4,573.7,14.3,8.3,Team A
RUN-00074,2025-01-10,North Plant,Line A,M-102,P-500,Swing,429.3,374.6,39.0,660.5,592.0,572.4,11.6,7.9,Team B
RUN-00075,2025-01-10,North Plant,Line B,M-103,P-400,Day,413.9,394.2,48.0,517.4,459.6,442.6,10.7,6.3,Team B
RUN-00076,2025-01-10,South Plant,Line C,M-201,P-500,Swing,479.3,456.4,39.0,737.3,657.6,636.2,12.7,8.7,Team B
RUN-00077,2025-01-10,South Plant,Line C,M-202,P-400,Night,420.5,389.4,48.0,525.6,451.3,432.4,10.8,8.1,Team B
RUN-00078,2025-01-10,South Plant,Line D,M-203,P-300,Night,513.1,438.5,36.0,855.2,752.4,725.3,14.3,12.8,Team A
RUN-00079,2025-01-10,West Plant,Line E,M-301,P-100,Swing,424.3,398.5,42.0,606.2,522.0,502.4,12.4,7.2,Team C
RUN-00080,2025-01-10,West Plant,Line E,M-302,P-600,Day,388.2,368.9,51.0,456.7,416.6,402.7,8.3,5.6,Team B
RUN-00081,2025-01-11,North Plant,Line A,M-101,P-400,Night,327.6,286.3,48.0,409.5,350.1,335.4,8.4,6.3,Team A
RUN-00082,2025-01-11,North Plant,Line A,M-102,P-100,Night,425.5,403.3,42.0,607.9,519.2,500.0,10.2,9.0,Team A
RUN-00083,2025-01-11,North Plant,Line B,M-103,P-200,Day,412.8,356.6,55.0,450.3,410.5,395.3,9.6,5.6,Team A
RUN-00084,2025-01-11,South Plant,Line C,M-201,P-200,Night,409.4,346.4,55.0,446.6,381.5,367.6,7.4,6.5,Team C
RUN-00085,2025-01-11,South Plant,Line C,M-202,P-600,Swing,360.7,305.5,51.0,424.4,370.0,355.9,8.9,5.2,Team D
RUN-00086,2025-01-11,South Plant,Line D,M-203,P-600,Night,427.9,402.5,51.0,503.4,444.0,428.0,8.4,7.5,Team D
RUN-00087,2025-01-11,West Plant,Line E,M-301,P-300,Day,474.1,446.7,36.0,790.2,713.4,686.6,16.9,9.9,Team A
RUN-00088,2025-01-11,West Plant,Line E,M-302,P-500,Day,384.5,355.7,39.0,591.5,538.9,520.8,10.8,7.3,Team C
RUN-00089,2025-01-12,North Plant,Line A,M-101,P-500,Night,435.7,368.2,39.0,670.3,567.1,543.3,13.6,10.2,Team C
RUN-00090,2025-01-12,North Plant,Line A,M-102,P-300,Night,457.1,394.1,36.0,761.9,650.8,626.7,12.8,11.3,Team C
RUN-00091,2025-01-12,North Plant,Line B,M-103,P-400,Night,437.1,397.2,48.0,546.4,466.1,447.0,10.9,8.2,Team B
RUN-00092,2025-01-12,South Plant,Line C,M-201,P-200,Day,406.3,375.4,55.0,443.2,411.9,398.5,8.0,5.4,Team D
RUN-00093,2025-01-12,South Plant,Line C,M-202,P-300,Swing,435.3,386.8,36.0,725.6,623.9,600.2,15.0,8.7,Team D
RUN-00094,2025-01-12,South Plant,Line D,M-203,P-100,Swing,422.8,370.6,42.0,604.0,534.6,517.5,10.2,6.9,Team A
RUN-00095,2025-01-12,West Plant,Line E,M-301,P-500,Swing,419.0,372.5,39.0,644.6,554.1,533.3,13.1,7.7,Team C
RUN-00096,2025-01-12,West Plant,Line E,M-302,P-600,Day,375.3,334.1,51.0,441.5,398.4,385.0,8.0,5.4,Team C
RUN-00097,2025-01-13,North Plant,Line A,M-101,P-100,Swing,381.5,352.6,42.0,545.0,469.7,451.9,11.3,6.6,Team A
RUN-00098,2025-01-13,North Plant,Line A,M-102,P-400,Swing,444.8,402.9,48.0,556.0,498.8,482.3,9.8,6.7,Team C
RUN-00099,2025-01-13,North Plant,Line B,M-103,P-400,Swing,520.0,482.8,48.0,650.0,563.2,542.3,13.1,7.7,Team C
RUN-00100,2025-01-13,South Plant,Line C,M-201,P-100,Night,417.7,391.0,42.0,596.8,520.7,501.7,10.1,8.9,Team D
RUN-00101,2025-01-13,South Plant,Line C,M-202,P-400,Day,446.6,378.1,48.0,558.3,506.4,487.2,12.2,7.1,Team D
RUN-00102,2025-01-13,South Plant,Line D,M-203,P-400,Day,407.7,378.8,48.0,509.6,470.1,455.1,8.9,6.1,Team B
RUN-00103,2025-01-13,West Plant,Line E,M-301,P-300,Day,360.2,309.2,36.0,600.3,536.3,516.2,12.7,7.4,Team D
RUN-00104,2025-01-13,West Plant,Line E,M-302,P-500,Swing,301.4,289.2,39.0,463.7,417.4,403.4,8.3,5.6,Team A
RUN-00105,2025-01-14,North Plant,Line A,M-101,P-300,Night,438.6,388.8,36.0,731.0,620.7,594.6,14.9,11.2,Team B
RUN-00106,2025-01-14,North Plant,Line A,M-102,P-300,Swing,451.6,388.2,36.0,752.7,668.2,646.1,13.1,8.9,Team A
RUN-00107,2025-01-14,North Plant,Line B,M-103,P-300,Day,485.2,456.4,36.0,808.6,730.5,703.4,17.0,10.0,Team D
RUN-00108,2025-01-14,South Plant,Line C,M-201,P-400,Night,476.2,404.5,48.0,595.2,516.6,497.8,10.0,8.9,Team A
RUN-00109,2025-01-14,South Plant,Line C,M-202,P-100,Night,482.6,415.9,42.0,689.4,572.2,548.2,13.7,10.3,Team B
RUN-00110,2025-01-14,South Plant,Line D,M-203,P-600,Night,357.4,321.2,51.0,420.4,364.7,351.6,6.9,6.2,Team A
RUN-00111,2025-01-14,West Plant,Line E,M-301,P-500,Swing,388.5,365.7,39.0,597.7,510.3,491.2,12.1,7.1,Team B
RUN-00112,2025-01-14,West Plant,Line E,M-302,P-400,Swing,409.9,347.1,48.0,512.3,457.5,442.2,9.2,6.2,Team C
RUN-00113,2025-01-15,North Plant,Line A,M-101,P-500,Day,446.5,400.9,39.0,686.9,623.2,599.5,15.0,8.7,Team C
RUN-00114,2025-01-15,North Plant,Line A,M-102,P-500,Night,416.5,379.2,39.0,640.8,565.9,545.0,11.1,9.8,Team D
RUN-00115,2025-01-15,North Plant,Line B,M-103,P-300,Night,384.4,365.3,36.0,640.7,541.3,519.1,12.6,9.6,Team B
RUN-00116,2025-01-15,South Plant,Line C,M-201,P-300,Swing,456.0,384.4,36.0,760.0,667.9,646.2,12.9,8.8,Team A
RUN-00117,2025-01-15,South Plant,Line C,M-202,P-500,Night,427.5,359.5,39.0,657.7,556.0,532.7,13.3,10.0,Team B
RUN-00118,2025-01-15,South Plant,Line D,M-203,P-200,Day,427.6,391.0,55.0,466.5,442.2,428.0,8.4,5.7,Team C
RUN-00119,2025-01-15,West Plant,Line E,M-301,P-600,Swing,434.5,415.2,51.0,511.2,445.0,428.3,10.5,6.2,Team D
RUN-00120,2025-01-15,West Plant,Line E,M-302,P-300,Night,448.6,400.5,36.0,747.6,653.2,628.7,13.1,11.4,Team D
RUN-00121,2025-01-16,North Plant,Line A,M-101,P-600,Swing,484.4,423.7,51.0,569.9,499.6,480.6,12.0,7.0,Team C
RUN-00122,2025-01-16,North Plant,Line A,M-102,P-600,Swing,403.0,340.5,51.0,474.2,414.0,400.4,8.1,5.5,Team C
RUN-00123,2025-01-16,North Plant,Line B,M-103,P-600,Night,452.5,433.2,51.0,532.4,450.9,432.5,10.5,8.0,Team B
RUN-00124,2025-01-16,South Plant,Line C,M-201,P-100,Swing,471.0,441.0,42.0,672.8,600.2,580.6,11.6,7.9,Team D
RUN-00125,2025-01-16,South Plant,Line C,M-202,P-300,Night,437.9,370.4,36.0,729.9,611.4,585.7,14.7,11.0,Team D
RUN-00126,2025-01-16,South Plant,Line D,M-203,P-600,Day,363.1,342.7,51.0,427.1,401.5,388.6,7.6,5.2,Team C
RUN-00127,2025-01-16,West Plant,Line E,M-301,P-300,Swing,429.7,393.0,36.0,716.1,611.1,588.2,14.5,8.5,Team D
RUN-00128,2025-01-16,West Plant,Line E,M-302,P-300,Night,430.8,363.4,36.0,717.9,625.9,602.4,12.5,11.0,Team A
RUN-00129,2025-01-17,North Plant,Line A,M-101,P-500,Swing,474.5,447.1,39.0,730.0,620.8,597.2,14.9,8.7,Team D
RUN-00130,2025-01-17,North Plant,Line A,M-102,P-500,Day,403.8,358.4,39.0,621.2,575.5,556.5,11.3,7.7,Team D
RUN-00131,2025-01-17,North Plant,Line B,M-103,P-400,Day,375.5,330.8,48.0,469.3,415.8,400.5,9.7,5.7,Team D
RUN-00132,2025-01-17,South Plant,Line C,M-201,P-300,Swing,502.1,446.3,36.0,836.8,738.6,714.6,14.3,9.7,Team D
RUN-00133,2025-01-17,South Plant,Line C,M-202,P-100,Day,350.8,333.2,42.0,501.1,446.3,429.4,10.7,6.2,Team C
RUN-00134,2025-01-17,South Plant,Line D,M-203,P-300,Swing,486.7,420.6,36.0,811.2,711.7,689.0,13.5,9.3,Team A
RUN-00135,2025-01-17,West Plant,Line E,M-301,P-200,Day,427.1,380.3,55.0,465.9,415.7,400.1,9.8,5.8,Team B
RUN-00136,2025-01-17,West Plant,Line E,M-302,P-600,Night,383.9,363.8,51.0,451.7,387.5,373.0,7.7,6.8,Team D
RUN-00137,2025-01-18,North Plant,Line A,M-101,P-400,Day,439.3,408.1,48.0,549.1,491.8,473.2,11.8,6.9,Team B
RUN-00138,2025-01-18,North Plant,Line A,M-102,P-400,Swing,391.4,344.0,48.0,489.3,429.3,415.2,8.4,5.7,Team C
RUN-00139,2025-01-18,North Plant,Line B,M-103,P-300,Day,435.4,407.1,36.0,725.7,655.7,631.4,15.3,9.0,Team D
RUN-00140,2025-01-18,South Plant,Line C,M-201,P-400,Night,445.0,409.8,48.0,556.3,494.7,476.7,9.6,8.5,Team B
RUN-00141,2025-01-18,South Plant,Line C,M-202,P-500,Night,402.6,365.3,39.0,619.4,514.8,493.2,12.4,9.3,Team D
RUN-00142,2025-01-18,South Plant,Line D,M-203,P-300,Day,403.0,359.5,36.0,671.7,624.7,604.7,11.9,8.1,Team C
RUN-00143,2025-01-18,West Plant,Line E,M-301,P-600,Day,386.9,336.4,51.0,455.2,401.1,386.1,9.5,5.5,Team D
RUN-00144,2025-01-18,West Plant,Line E,M-302,P-600,Day,412.0,348.6,51.0,484.7,442.3,427.5,8.8,6.0,Team B
RUN-00145,2025-01-19,North Plant,Line A,M-101,P-400,Day,462.0,399.5,48.0,577.5,520.8,501.0,12.5,7.3,Team B
RUN-00146,2025-01-19,North Plant,Line A,M-102,P-300,Day,445.9,380.6,36.0,743.2,672.0,649.8,13.2,9.0,Team B
RUN-00147,2025-01-19,North Plant,Line B,M-103,P-100,Night,411.6,362.2,42.0,588.0,498.5,478.1,11.6,8.8,Team A
RUN-00148,2025-01-19,South Plant,Line C,M-201,P-400,Swing,379.1,333.1,48.0,473.9,417.6,404.0,8.1,5.5,Team D
RUN-00149,2025-01-19,South Plant,Line C,M-202,P-600,Day,383.1,337.0,51.0,450.7,398.7,383.6,9.6,5.6,Team B
RUN-00150,2025-01-19,South Plant,Line D,M-203,P-300,Night,375.2,322.0,36.0,625.4,551.9,532.0,10.5,9.4,Team A
RUN-00151,2025-01-19,West Plant,Line E,M-301,P-200,Day,431.1,371.9,55.0,470.3,413.9,398.4,9.8,5.7,Team A
RUN-00152,2025-01-19,West Plant,Line E,M-302,P-100,Day,330.1,299.8,42.0,471.6,429.1,414.7,8.6,5.8,Team A
RUN-00153,2025-01-20,North Plant,Line A,M-101,P-500,Swing,424.0,387.6,39.0,652.2,568.7,547.1,13.6,8.0,Team D
RUN-00154,2025-01-20,North Plant,Line A,M-102,P-600,Day,384.3,365.2,51.0,452.1,413.1,399.4,8.1,5.5,Team D
RUN-00155,2025-01-20,North Plant,Line B,M-103,P-600,Swing,491.4,460.7,51.0,578.1,497.8,479.4,11.6,6.8,Team C
RUN-00156,2025-01-20,South Plant,Line C,M-201,P-400,Day,437.7,389.4,48.0,547.1,500.9,484.7,9.7,6.6,Team D
RUN-00157,2025-01-20,South Plant,Line C,M-202,P-500,Day,433.6,365.2,39.0,667.1,593.1,570.6,14.2,8.3,Team A
RUN-00158,2025-01-20,South Plant,Line D,M-203,P-400,Day,487.3,427.9,48.0,609.1,571.7,553.4,10.9,7.4,Team C
RUN-00159,2025-01-20,West Plant,Line E,M-301,P-100,Night,420.5,388.2,42.0,600.7,500.3,479.5,11.8,8.9,Team C
RUN-00160,2025-01-20,West Plant,Line E,M-302,P-500,Day,367.9,309.8,39.0,566.0,510.0,492.9,10.2,6.9,Team C
RUN-00161,2025-01-21,North Plant,Line A,M-101,P-400,Night,420.5,397.6,48.0,525.6,449.7,430.8,10.8,8.1,Team C
RUN-00162,2025-01-21,North Plant,Line A,M-102,P-100,Swing,414.0,377.3,42.0,591.4,514.8,497.8,10.1,6.9,Team C
RUN-00163,2025-01-21,North Plant,Line B,M-103,P-300,Day,348.5,317.7,36.0,580.9,513.3,494.3,12.0,7.0,Team C
RUN-00164,2025-01-21,South Plant,Line C,M-201,P-600,Day,421.6,382.1,51.0,495.9,461.5,446.5,8.9,6.1,Team D
RUN-00165,2025-01-21,South Plant,Line C,M-202,P-500,Day,471.5,439.0,39.0,725.4,650.7,626.0,15.6,9.1,Team C
RUN-00166,2025-01-21,South Plant,Line D,M-203,P-100,Night,428.7,401.0,42.0,612.4,525.2,506.3,10.0,8.9,Team B
RUN-00167,2025-01-21,West Plant,Line E,M-301,P-300,Swing,394.9,350.4,36.0,658.1,576.8,555.2,13.7,8.0,Team B
RUN-00168,2025-01-21,West Plant,Line E,M-302,P-300,Swing,374.4,323.5,36.0,624.0,544.1,525.9,10.9,7.3,Team A
RUN-00169,2025-01-22,North Plant,Line A,M-101,P-600,Night,373.5,346.6,51.0,439.4,369.6,354.0,8.9,6.7,Team D
RUN-00170,2025-01-22,North Plant,Line A,M-102,P-400,Night,415.3,385.3,48.0,519.1,455.4,438.5,9.0,7.9,Team B
RUN-00171,2025-01-22,North Plant,Line B,M-103,P-600,Night,374.9,353.8,51.0,441.0,380.3,364.7,8.9,6.7,Team C
RUN-00172,2025-01-22,South Plant,Line C,M-201,P-400,Night,477.1,402.1,48.0,596.4,525.1,505.9,10.2,9.0,Team A
RUN-00173,2025-01-22,South Plant,Line C,M-202,P-600,Night,490.1,434.9,51.0,576.6,493.2,472.5,11.8,8.9,Team B
RUN-00174,2025-01-22,South Plant,Line D,M-203,P-300,Day,454.1,414.2,36.0,756.8,700.9,678.5,13.3,9.1,Team C
RUN-00175,2025-01-22,West Plant,Line E,M-301,P-400,Night,456.3,404.9,48.0,570.4,479.7,459.8,11.4,8.6,Team B
RUN-00176,2025-01-22,West Plant,Line E,M-302,P-200,Day,437.0,417.2,55.0,476.7,435.5,420.9,8.7,5.9,Team A
RUN-00177,2025-01-23,North Plant,Line A,M-101,P-200,Day,417.7,364.8,55.0,455.6,414.0,398.2,9.9,5.8,Team A
RUN-00178,2025-01-23,North Plant,Line A,M-102,P-600,Day,403.7,351.7,51.0,475.0,437.8,423.4,8.6,5.8,Team A
RUN-00179,2025-01-23,North Plant,Line B,M-103,P-100,Day,449.0,403.8,42.0,641.4,581.7,560.2,13.6,7.9,Team B
RUN-00180,2025-01-23,South Plant,Line C,M-201,P-200,Day,411.2,388.6,55.0,448.5,420.0,406.3,8.1,5.5,Team B
RUN-00181,2025-01-23,South Plant,Line C,M-202,P-100,Night,375.6,318.7,42.0,536.5,460.1,440.8,11.0,8.3,Team D
RUN-00182,2025-01-23,South Plant,Line D,M-203,P-600,Day,402.7,379.2,51.0,473.8,433.2,419.4,8.2,5.6,Team B
RUN-00183,2025-01-23,West Plant,Line E,M-301,P-300,Swing,403.7,346.8,36.0,672.8,574.6,553.0,13.6,7.9,Team C
RUN-00184,2025-01-23,West Plant,Line E,M-302,P-300,Night,385.5,341.0,36.0,642.5,551.5,530.8,11.0,9.7,Team C
RUN-00185,2025-01-24,North Plant,Line A,M-101,P-100,Swing,414.1,394.6,42.0,591.6,502.4,483.3,12.1,7.0,Team D
RUN-00186,2025-01-24,North Plant,Line A,M-102,P-200,Day,368.9,347.4,55.0,402.5,367.9,355.7,7.2,4.9,Team D
RUN-00187,2025-01-24,North Plant,Line B,M-103,P-400,Day,442.2,409.2,48.0,552.8,493.0,474.8,11.5,6.7,Team B
RUN-00188,2025-01-24,South Plant,Line C,M-201,P-400,Night,381.5,331.8,48.0,476.9,416.2,401.1,8.0,7.1,Team D
RUN-00189,2025-01-24,South Plant,Line C,M-202,P-200,Day,385.3,359.6,55.0,420.3,382.0,367.5,9.2,5.3,Team A
RUN-00190,2025-01-24,South Plant,Line D,M-203,P-200,Swing,413.2,368.6,55.0,450.8,403.2,390.3,7.7,5.2,Team B
RUN-00191,2025-01-24,West Plant,Line E,M-301,P-300,Day,437.9,418.0,36.0,729.9,654.9,630.4,15.5,9.1,Team A
RUN-00192,2025-01-24,West Plant,Line E,M-302,P-300,Day,374.0,315.5,36.0,623.3,567.4,548.4,11.3,7.7,Team C
RUN-00193,2025-01-25,North Plant,Line A,M-101,P-100,Day,455.5,408.0,42.0,650.7,584.7,562.5,14.0,8.2,Team D
RUN-00194,2025-01-25,North Plant,Line A,M-102,P-400,Swing,433.4,406.6,48.0,541.8,490.0,473.9,9.6,6.5,Team C
RUN-00195,2025-01-25,North Plant,Line B,M-103,P-300,Swing,438.1,385.9,36.0,730.1,643.1,619.3,15.0,8.8,Team B
RUN-00196,2025-01-25,South Plant,Line C,M-201,P-600,Day,400.6,372.6,51.0,471.3,438.8,424.5,8.5,5.8,Team B
